t,i_sn,x_sn,U_sn,P_0,P_sn
0.0000000100,172,0.0860000100,0.0013147565,40000000.0000000000,39999998.6758019924
0.0000000210,172,0.0860000100,0.0027609887,40000000.0000000000,39999995.6211023033
0.0000000331,172,0.0860000101,0.0043518439,40000000.0000000000,39999990.3328441679
0.0000000464,172,0.0860000102,0.0061017844,40000000.0000000000,39999982.1902216226
0.0000000611,172,0.0860000103,0.0080267186,40000000.0000000000,39999970.4293576032
0.0000000772,172,0.0860000105,0.0101441455,40000000.0000000000,39999954.1128108501
0.0000000949,172,0.0860000107,0.0124733142,40000000.0000000000,39999932.0929100215
0.0000001144,172,0.0860000110,0.0150353984,40000000.0000000000,39999902.9677325040
0.0000001358,172,0.0860000114,0.0178536890,40000000.0000000000,39999865.0283305421
0.0000001594,172,0.0860000118,0.0209538056,40000000.0000000000,39999816.1956008077
0.0000001853,172,0.0860000125,0.0243639298,40000000.0000000000,39999753.9448840842
0.0000002138,172,0.0860000133,0.0281150605,40000000.0000000000,39999675.2161278799
0.0000002452,172,0.0860000143,0.0322412962,40000000.0000000000,39999576.3070908859
0.0000002797,172,0.0860000156,0.0367801442,40000000.0000000000,39999452.7467486709
0.0000003177,172,0.0860000172,0.0417728616,40000000.0000000000,39999299.1456757709
0.0000003595,172,0.0860000191,0.0472648297,40000000.0000000000,39999109.0198469758
0.0000004054,172,0.0860000216,0.0533059658,40000000.0000000000,39998874.5839726701
0.0000004554,172,0.0860000246,0.0598795636,40000000.0000000000,39998589.9321712032
0.0000005054,172,0.0860000279,0.0664531146,40000000.0000000000,39998276.1316488162
0.0000005554,172,0.0860000315,0.0730266140,40000000.0000000000,39997933.5789599046
0.0000006054,172,0.0860000355,0.0796000571,40000000.0000000000,39997562.6700102165
0.0000006554,172,0.0860000398,0.0861734393,40000000.0000000000,39997163.8000045493
0.0000007054,172,0.0860000445,0.0927467559,40000000.0000000000,39996737.3633891717
0.0000007554,172,0.0860000494,0.0993200024,40000000.0000000000,39996283.7537927106
0.0000008054,172,0.0860000547,0.1058931744,40000000.0000000000,39995803.3639779165
0.0000008554,172,0.0860000604,0.1124662674,40000000.0000000000,39995296.5857776329
0.0000009054,172,0.0860000663,0.1190392772,40000000.0000000000,39994763.8100469783
0.0000009554,172,0.0860000726,0.1256121994,40000000.0000000000,39994205.4266052023
0.0000010054,172,0.0860000792,0.1321850298,40000000.0000000000,39993621.8241795078
0.0000010554,172,0.0860000861,0.1387577643,40000000.0000000000,39993013.3903509080
0.0000011054,172,0.0860000934,0.1453303988,40000000.0000000000,39992380.5115059316
0.0000011554,172,0.0860001010,0.1519029293,40000000.0000000000,39991723.5727741420
0.0000012054,172,0.0860001089,0.1584753519,40000000.0000000000,39991042.9579804018
0.0000012554,172,0.0860001172,0.1650476625,40000000.0000000000,39990339.0495885909
0.0000013054,172,0.0860001258,0.1716198575,40000000.0000000000,39989612.2286545262
0.0000013554,172,0.0860001347,0.1781919331,40000000.0000000000,39988862.8747650385
0.0000014054,172,0.0860001439,0.1847638855,40000000.0000000000,39988091.3659953251
0.0000014554,172,0.0860001535,0.1913357111,40000000.0000000000,39987298.0788488090
0.0000015054,172,0.0860001634,0.1979074063,40000000.0000000000,39986483.3882117942
0.0000015554,172,0.0860001736,0.2044789677,40000000.0000000000,39985647.6673013195
0.0000016054,172,0.0860001841,0.2110503917,40000000.0000000000,39984791.2876136079
0.0000016554,172,0.0860001950,0.2176216749,40000000.0000000000,39983914.6188782454
0.0000017054,172,0.0860002062,0.2241928141,40000000.0000000000,39983018.0290039331
0.0000017554,172,0.0860002178,0.2307638059,40000000.0000000000,39982101.8840337694
0.0000018054,172,0.0860002296,0.2373346472,40000000.0000000000,39981166.5480955765
0.0000018554,172,0.0860002418,0.2439053348,40000000.0000000000,39980212.3833546638
0.0000019054,172,0.0860002544,0.2504758655,40000000.0000000000,39979239.7499634027
0.0000019554,172,0.0860002672,0.2570462364,40000000.0000000000,39978249.0060223565
0.0000020054,172,0.0860002804,0.2636164445,40000000.0000000000,39977240.5075273961
0.0000020554,172,0.0860002939,0.2701864868,40000000.0000000000,39976214.6083283126
0.0000021054,172,0.0860003077,0.2767563605,40000000.0000000000,39975171.6600808427
0.0000021554,172,0.0860003219,0.2833260628,40000000.0000000000,39974112.0122064054
0.0000022054,172,0.0860003364,0.2898955910,40000000.0000000000,39973036.0118454695
0.0000022554,172,0.0860003512,0.2964649424,40000000.0000000000,39971944.0038149655
0.0000023054,172,0.0860003664,0.3030341142,40000000.0000000000,39970836.3305699751
0.0000023554,172,0.0860003818,0.3096031041,40000000.0000000000,39969713.3321572170
0.0000024054,172,0.0860003977,0.3161719093,40000000.0000000000,39968575.3461781144
0.0000024554,172,0.0860004138,0.3227405276,40000000.0000000000,39967422.7077453583
0.0000025054,172,0.0860004303,0.3293089564,40000000.0000000000,39966255.7494455725
0.0000025554,172,0.0860004471,0.3358771935,40000000.0000000000,39965074.8013008907
0.0000026054,172,0.0860004642,0.3424452364,40000000.0000000000,39963880.1907295063
0.0000026554,172,0.0860004816,0.3490130830,40000000.0000000000,39962672.2425104529
0.0000027054,172,0.0860004994,0.3555807312,40000000.0000000000,39961451.2787455991
0.0000027554,172,0.0860005175,0.3621481786,40000000.0000000000,39960217.6188224480
0.0000028054,172,0.0860005359,0.3687154233,40000000.0000000000,39958971.5793846771
0.0000028554,172,0.0860005547,0.3752824632,40000000.0000000000,39957713.4742893875
0.0000029054,172,0.0860005738,0.3818492964,40000000.0000000000,39956443.6145827547
0.0000029554,172,0.0860005932,0.3884159209,40000000.0000000000,39955162.3084605932
0.0000030054,172,0.0860006130,0.3949823348,40000000.0000000000,39953869.8612403348
0.0000030554,172,0.0860006331,0.4015485363,40000000.0000000000,39952566.5753266588
0.0000031054,172,0.0860006535,0.4081145236,40000000.0000000000,39951252.7501868457
0.0000031554,172,0.0860006742,0.4146802949,40000000.0000000000,39949928.6823145971
0.0000032054,172,0.0860006953,0.4212458487,40000000.0000000000,39948594.6652069613
0.0000032554,172,0.0860007166,0.4278111833,40000000.0000000000,39947250.9893332869
0.0000033054,172,0.0860007384,0.4343762970,40000000.0000000000,39945897.9421086386
0.0000033554,172,0.0860007604,0.4409411883,40000000.0000000000,39944535.8078697026
0.0000034054,172,0.0860007828,0.4475058558,40000000.0000000000,39943164.8678498715
0.0000034554,172,0.0860008055,0.4540702980,40000000.0000000000,39941785.4001497030
0.0000035054,172,0.0860008285,0.4606345135,40000000.0000000000,39940397.6797209233
