t,i_sn,x_sn,U_sn,P_0,P_sn
0.0010000000,240,12.0010000000,0.0000000000,30.0005832012,30.0005832012
0.0021000000,240,12.0010000017,0.0000015551,30.0012247353,30.0012218032
0.0033100000,240,12.0010000057,0.0000032657,30.0019304383,30.0019207413
0.0046410000,240,12.0010000125,0.0000051474,30.0027067303,30.0026853205
0.0061051000,240,12.0010000231,0.0000072174,30.0035606742,30.0035212269
0.0077156100,240,12.0010000384,0.0000094944,30.0045000398,30.0044345360
0.0094871710,240,12.0010000596,0.0000119991,30.0055333753,30.0054317160
0.0114358881,240,12.0010000884,0.0000147545,30.0066700844,30.0065196242
0.0135794769,240,12.0010001265,0.0000177855,30.0079205131,30.0077054950
0.0159374246,240,12.0010001763,0.0000211197,30.0092960434,30.0089969174
0.0185311671,240,12.0010002406,0.0000247875,30.0108091978,30.0104017992
0.0213842838,240,12.0010003228,0.0000288223,30.0124737538,30.0119283146
0.0245227121,240,12.0010004272,0.0000332608,30.0143048696,30.0135848319
0.0279749834,240,12.0010005589,0.0000381434,30.0163192230,30.0153798172
0.0317724817,240,12.0010007241,0.0000435146,30.0185351643,30.0173217100
0.0359497299,240,12.0010009306,0.0000494232,30.0209728842,30.0194187656
0.0405447028,240,12.0010011876,0.0000559233,30.0236545996,30.0216788593
0.0455991731,240,12.0010015064,0.0000630738,30.0266047568,30.0241092479
0.0511590904,240,12.0010019008,0.0000709400,30.0298502567,30.0267162855
0.0572749995,240,12.0010023876,0.0000795936,30.0334207025,30.0295050892
0.0640024994,240,12.0010029871,0.0000891135,30.0373486718,30.0324791577
0.0714027494,240,12.0010037241,0.0000995864,30.0416700177,30.0356399453
0.0795430243,240,12.0010046285,0.0001111077,30.0464241997,30.0389864067
0.0884973268,240,12.0010057369,0.0001237827,30.0516546488,30.0425145325
0.0983470594,240,12.0010070935,0.0001377267,30.0574091702,30.0462169172
0.1091817654,240,12.0010087519,0.0001530671,30.0637403870,30.0500824194
0.1210999419,240,12.0010107773,0.0001699436,30.0707062303,30.0540960076
0.1342099361,240,12.0010132487,0.0001885103,30.0783704791,30.0582389255
0.1486309297,240,12.0010162618,0.0002089365,30.0868033569,30.0624893684
0.1644940227,240,12.0010199326,0.0002314085,30.0960821903,30.0668239291
0.1803891328,240,12.0010239688,0.0002539290,30.1053826895,30.0708567971
0.1962842428,240,12.0010283631,0.0002764526,30.1146861333,30.0746084138
0.2121793529,240,12.0010331154,0.0002989790,30.1239925229,30.0781075309
0.2280744630,240,12.0010382258,0.0003215080,30.1333018593,30.0813823818
0.2439695730,240,12.0010436943,0.0003440395,30.1426141432,30.0844605427
0.2598646831,240,12.0010495211,0.0003665733,30.1519293759,30.0873688028
0.2757597932,240,12.0010557060,0.0003891093,30.1612475582,30.0901330437
0.2916549033,240,12.0010622492,0.0004116473,30.1705686911,30.0927781302
0.3075500133,240,12.0010691506,0.0004341873,30.1798927755,30.0953278103
0.3234451234,240,12.0010764104,0.0004567292,30.1892198126,30.0978046271
0.3393402335,240,12.0010840285,0.0004792730,30.1985498032,30.1002298417
0.3552353435,240,12.0010920049,0.0005018186,30.2078827483,30.1026233673
0.3711304536,240,12.0011003398,0.0005243660,30.2172186489,30.1050037152
0.3870255637,240,12.0011090331,0.0005469152,30.2265575060,30.1073879518
0.4029206738,240,12.0011180848,0.0005694661,30.2358993206,30.1097916675
0.4188157838,240,12.0011274950,0.0005920189,30.2452440936,30.1122289560
0.4347108939,240,12.0011372637,0.0006145734,30.2545918261,30.1147124054
0.4506060040,240,12.0011473910,0.0006371299,30.2639425190,30.1172530999
0.4665011140,240,12.0011578768,0.0006596882,30.2732961732,30.1198606309
0.4823962241,240,12.0011687212,0.0006822485,30.2826527899,30.1225431191
0.4982913342,240,12.0011799243,0.0007048108,30.2920123699,30.1253072450
0.5141864443,240,12.0011914860,0.0007273752,30.3013749142,30.1281582888
0.5300815543,240,12.0012034064,0.0007499417,30.3107404239,30.1311001779
0.5459766644,240,12.0012156855,0.0007725104,30.3201088998,30.1341355425
0.5618717745,240,12.0012283234,0.0007950814,30.3294803431,30.1372657776
